"","Village","District","Latitude","Longitude","Elevation","Acres","Planting.year","Age","variety","Row.spacing..meter.","Plant.to.plant.spacing..meter.","Population.acre","Rainfed..irrigated","Irrigation.frequency","N.fert","Yield..Kgs.acre.","ID","dry_sumrain","dry_meantmax","dry_meantmin","dry_meanvpd","dry_sumsoil","wet_sumrain","wet_meantmax","wet_meantmin","wet_meanvpd","wet_sumsoil","Elevation_update","aspect"
"18","Thambatty","The Nilgiris",11.35869,76.69543,7116,0.25,1980,42,"S61","1.20 m","0.75 m",4500,"Rainfed","Nil","Urea",4000,"76.69543_11.35869",1432.1,21.7458333333333,10.275,0.594166666666667,1612.4,5027,19.6083333333333,11.2291666666667,0.33125,4112.5,2137,137.229645792696
"19","Thambatty","The Nilgiris",11.356279,76.69809,6834,0.5,1980,42,"S61","1.20 m","0.75 m",4500,"Rainfed","Nil","Urea",5000,"76.69809_11.356279",1432.1,21.7458333333333,10.275,0.594166666666667,1612.4,5027,19.6083333333333,11.2291666666667,0.33125,4112.5,2063,176.589402497926
"20","Thambatty","The Nilgiris",11.3533,76.69936,6658,0.5,2000,22,"S61","0.75 m","0.75 m",5500,"Rainfed","Nil","Urea",4000,"76.69936_11.3533",1432.1,21.7458333333333,10.275,0.594166666666667,1612.4,5027,19.6083333333333,11.2291666666667,0.33125,4112.5,2004,161.339647768654
"21","Thambatty","The Nilgiris",11.3533,76.70076,6594,1,1990,32,"S61","1.20 m","0.75 m",4500,"Rainfed","Nil","Urea",4000,"76.70076_11.3533",1432.1,21.7458333333333,10.275,0.594166666666667,1612.4,5027,19.6083333333333,11.2291666666667,0.33125,4112.5,1986,134.626291294539
"22","Thambatty","The Nilgiris",11.34917,76.7018,6565,10,2010,12,"S61","1.20 m","0.75 m",4500,"Rainfed","Nil",NA,3500,"76.7018_11.34917",1432.1,21.7458333333333,10.275,0.594166666666667,1612.4,5027,19.6083333333333,11.2291666666667,0.33125,4112.5,1981,134.626709488328
"23","Thambatty","The Nilgiris",11.3477,76.7014,6587,1,1980,42,"S61","0.75 m","0.75 m",5500,"Rainfed","Nil",NA,2600,"76.7014_11.3477",1432.1,21.7458333333333,10.275,0.594166666666667,1612.4,5027,19.6083333333333,11.2291666666667,0.33125,4112.5,1984,300.635510490659
"24","Thambatty","The Nilgiris",11.35633,76.72005,6735,1,1985,37,"S61","0.9 m","0.6 m",5500,"Rainfed","Nil","Urea",4000,"76.72005_11.35633",1374,22.0041666666667,10.9541666666667,0.590833333333333,1442.6,4778.8,20.0458333333333,11.8875,0.335416666666667,3797.1,1995,354.737688887735
"25","Thambatty","The Nilgiris",11.35745,76.69974,6873,1.5,1980,42,"S61","1.20 m","0.75 m",4500,"Rainfed","Nil","Urea",3500,"76.69974_11.35745",1432.1,21.7458333333333,10.275,0.594166666666667,1612.4,5027,19.6083333333333,11.2291666666667,0.33125,4112.5,2058,103.861190312679
"26","Thambatty","The Nilgiris",11.35853,76.69888,6971,2,1990,32,"S61","1.20 m","0.75 m",4500,"Rainfed","Nil","Urea",3000,"76.69888_11.35853",1432.1,21.7458333333333,10.275,0.594166666666667,1612.4,5027,19.6083333333333,11.2291666666667,0.33125,4112.5,2088,129.437900392099
"27","Thambatty","The Nilgiris",11.35753,76.697071,6966,0.5,1990,32,"S61","1.20 m","0.75 m",4500,"Rainfed","Nil","Urea",4000,"76.697071_11.35753",1432.1,21.7458333333333,10.275,0.594166666666667,1612.4,5027,19.6083333333333,11.2291666666667,0.33125,4112.5,2102,143.855337373682
"28","Thambatty","The Nilgiris",11.3562,76.6966,6903,0.5,2010,12,"S61","1.20 m","0.75 m",4500,"Rainfed","Nil","Urea",4000,"76.6966_11.3562",1432.1,21.7458333333333,10.275,0.594166666666667,1612.4,5027,19.6083333333333,11.2291666666667,0.33125,4112.5,2079,132.891141498815
"29","Bickol","The Nilgiris",11.3234,76.704,1950,0.5,1990,32,"S61","0.9 m","0.6 m",5500,"Rainfed","Nil",NA,3000,"76.704_11.3234",1496.4,21.9291666666667,10.9791666666667,0.5775,1787.4,5421,20.075,11.975,0.339166666666667,4369,1925,285.333970391126
"30","Bickol","The Nilgiris",11.3256,76.6992,2010,1,1975,47,"S61","0.75 m","0.75 m",5500,"Rainfed","Nil","Urea",4000,"76.6992_11.3256",1496.4,21.9291666666667,10.9791666666667,0.5775,1787.4,5421,20.075,11.975,0.339166666666667,4369,1986,176.948022904646
"31","Bickol","The Nilgiris",11.3276,76.6997,2024,1,1980,42,"S61","1.20 m","0.75 m",4500,"Rainfed","Nil","Urea",3500,"76.6997_11.3276",1496.4,21.9291666666667,10.9791666666667,0.5775,1787.4,5421,20.075,11.975,0.339166666666667,4369,2005,64.21653121909
"32","Bickol","The Nilgiris",11.3284,76.7009,1976,0.5,1985,37,"S61","0.9 m","0.6 m",5500,"Rainfed","Nil",NA,3000,"76.7009_11.3284",1496.4,21.9291666666667,10.9791666666667,0.5775,1787.4,5421,20.075,11.975,0.339166666666667,4369,1959,51.7018258979308
"33","Bickol","The Nilgiris",11.3277,76.7037,1974,1,1990,32,"S61","1.20 m","0.75 m",4500,"Rainfed","Nil",NA,3000,"76.7037_11.3277",1496.4,21.9291666666667,10.9791666666667,0.5775,1787.4,5421,20.075,11.975,0.339166666666667,4369,1948,258.831969288857
"34","Bickol","The Nilgiris",11.3246,76.7054,1968,1,1980,42,"S61","1.20 m","0.75 m",4500,"Rainfed","Nil","Urea",3500,"76.7054_11.3246",1496.4,21.9291666666667,10.9791666666667,0.5775,1787.4,5421,20.075,11.975,0.339166666666667,4369,1938,240.573566611598
"35","Bickol","The Nilgiris",11.3273,76.7057,2013,1.5,2010,12,"S61","0.75 m","0.75 m",5500,"Rainfed","Nil","Urea",4000,"76.7057_11.3273",1496.4,21.9291666666667,10.9791666666667,0.5775,1787.4,5421,20.075,11.975,0.339166666666667,4369,1996,29.6091225510924
"36","Bickol","The Nilgiris",11.3295,76.7068,2013,2,1985,37,"S61","1.20 m","0.75 m",4500,"Rainfed","Nil","Urea",5000,"76.7068_11.3295",1496.4,21.9291666666667,10.9791666666667,0.5775,1787.4,5421,20.075,11.975,0.339166666666667,4369,1993,300.254985006315
"37","Bickol","The Nilgiris",11.3314,76.7049,2015,1,1995,27,"S61","1.20 m","0.75 m",4500,"Rainfed","Nil","Urea",4000,"76.7049_11.3314",1496.4,21.9291666666667,10.9791666666667,0.5775,1787.4,5421,20.075,11.975,0.339166666666667,4369,1991,203.468823747154
"38","Bickol","The Nilgiris",11.3325,76.77034,2025,8,1975,47,"clone","0.9 m","0.6 m",5500,"Rainfed","Nil","Urea",4000,"76.77034_11.3325",1407.4,22.4833333333333,12.0375,0.546666666666667,1472.7,5064.4,20.7541666666667,12.9,0.297916666666667,3691.8,1654,354.054306689547
"39","Bickol","The Nilgiris",11.3333,76.7025,2039,3,1980,42,"clone","0.75 m","0.75 m",5500,"Rainfed","Nil","Urea",3500,"76.7025_11.3333",1496.4,21.9291666666667,10.9791666666667,0.5775,1787.4,5421,20.075,11.975,0.339166666666667,4369,2014,223.757710053784
"40","Bickol","The Nilgiris",11.3349,76.7011,2046,2,1985,37,"clone","1.20 m","0.75 m",4500,"Rainfed","Nil",NA,3000,"76.7011_11.3349",1432.1,21.7458333333333,10.275,0.594166666666667,1612.4,5027,19.6083333333333,11.2291666666667,0.33125,4112.5,2023,222.003125847849
"41","Bickol","The Nilgiris",11.3245,76.7022,1976,7.5,1990,32,"clone","0.75 m","0.75 m",5500,"Rainfed","Nil","Urea",4000,"76.7022_11.3245",1496.4,21.9291666666667,10.9791666666667,0.5775,1787.4,5421,20.075,11.975,0.339166666666667,4369,1953,134.629187531724
"42","Bickol","The Nilgiris",11.3251,76.7014,2001,3,1985,37,"clone","0.9 m","0.6 m",5500,"Rainfed","Nil","Urea",4000,"76.7014_11.3251",1496.4,21.9291666666667,10.9791666666667,0.5775,1787.4,5421,20.075,11.975,0.339166666666667,4369,1978,179.999999999998
"43","Bickol","The Nilgiris",11.3233,76.7009,1966,2,1990,32,"clone","1.20 m","0.75 m",4500,"Rainfed","Nil","Urea",5000,"76.7009_11.3233",1496.4,21.9291666666667,10.9791666666667,0.5775,1787.4,5421,20.075,11.975,0.339166666666667,4369,1941,180.86623280876
"44","Bickol","The Nilgiris",11.3254,76.6989,2005,3,1980,42,"clone","1.20 m","0.75 m",4500,"Rainfed","Nil",NA,2900,"76.6989_11.3254",1496.4,21.9291666666667,10.9791666666667,0.5775,1787.4,5421,20.075,11.975,0.339166666666667,4369,1975,193.05604438932
"45","Adhikaratty","The Nilgiris",11.33215,76.700123,6484,2,1990,32,"clone","0.75 m","0.75 m",5500,"Rainfed","Nil",NA,2800,"76.700123_11.33215",1496.4,21.9291666666667,10.9791666666667,0.5775,1787.4,5421,20.075,11.975,0.339166666666667,4369,1962,246.049179497705
"46","Adhikaratty","The Nilgiris",11.33171,76.7003,6490,2,1980,42,"clone","1.20 m","0.75 m",4500,"Rainfed","Nil",NA,3000,"76.7003_11.33171",1496.4,21.9291666666667,10.9791666666667,0.5775,1787.4,5421,20.075,11.975,0.339166666666667,4369,1953,210.497439065197
